lagoslakeid,lake_glaciatedlatewisc,lake_lat_decdeg,lake_lon_decdeg,lake_huc12,ws_area_ha,ws_lake_arearatio
122,Glaciated,46.66982275,-92.40514835,40102011505,464310.662,3356.258292
23963,Glaciated,47.39234784,-92.49090232,40102010701,865.5427048,6.371997041
4674,Glaciated,46.58200534,-91.34370447,40103010801,222.0120738,1.940022139
27054,Glaciated,47.68974027,-90.9686764,40101010902,774.1286236,3.266163179
3526,Glaciated,47.88665634,-90.87578374,40101010802,1895.964959,5.617257149
3266,Glaciated,47.82349116,-90.76634853,40101010701,701.5749841,2.322983046
171,Glaciated,47.72483074,-90.61268407,40101011301,369.9442678,2.703367222
573,Glaciated,48.04678811,-90.50897003,40101010402,1061.45685,3.531715471
137040,Glaciated,48.09855854,-90.42278924,40101010101,2180.086885,8.451905103
131956,Glaciated,48.06390856,-90.34072753,40101010201,214.6455059,6.940203216
103848,Glaciated,48.10257479,-90.32335718,40101010101,660.8808715,23.54458604
55225,Glaciated,48.05356591,-90.00313636,40101010203,2357.51088,10.98925613
3707,Glaciated,46.85012204,-93.16281445,40102011101,321.2570313,5.50774018
1925,Glaciated,47.22597425,-93.08051003,40102010707,350.9559087,3.967747941
114083,Glaciated,47.28284187,-93.03750804,40102010606,369.3210565,9.934378761
14438,Glaciated,47.21215117,-92.9821378,40102010707,430.7722093,17.38542253
82180,Glaciated,46.67887193,-92.70059133,40102011201,208.9359725,24.18701072
126759,Glaciated,46.83218054,-92.69488165,40102011203,201.4305287,7.635881259
107945,Glaciated,47.00178289,-92.63820392,40102010908,134.0300532,2.314189119
64549,Glaciated,46.99233887,-92.627067,40102010908,262.4949675,6.732724727
1727,Glaciated,47.01295974,-92.62295667,40102010908,189.4152888,4.775345587
73772,Glaciated,47.46123662,-92.62889043,40102010704,59.62016001,3.034128991
13385,Glaciated,47.52759191,-92.62883761,40102010501,35.62465091,6.063414038
60359,Glaciated,46.7979219,-92.59423841,40102011203,195.593221,4.110243211
138174,Glaciated,47.45095559,-92.5144088,40102010701,42.65839148,9.62592278
46903,Glaciated,46.90603032,-92.48520593,40102020605,501.1452265,18.41181774
30132,Glaciated,47.47996639,-92.45979369,40102010305,473.0912942,5.39446288
38513,Glaciated,47.10180623,-92.41750445,40102020603,64.15860817,1.792885481
57287,Glaciated,47.10368077,-92.40428992,40102020603,442.9291716,4.25644533
123606,Glaciated,47.13811215,-92.40282575,40102010807,515.0651506,17.77628061
3638,Glaciated,47.21218655,-92.36446009,40102010901,23.45684238,1.125937967
92671,Glaciated,47.21533232,-92.35914611,40102010901,28.74067086,8.658573344
3318,Glaciated,47.20710606,-92.35680473,40102010901,261.056404,3.986349144
3342,Glaciated,47.20708388,-92.34198456,40102010901,219.4361228,2.592489374
106946,Glaciated,47.58820271,-92.3005985,40102010303,24818.16011,204.8691953
35333,Glaciated,47.00898744,-92.267915,40102020602,122.130001,2.998996304
130914,Glaciated,47.44929389,-92.25324625,40102010204,1037.728329,38.95131165
27069,Glaciated,47.40463239,-92.23877778,40102010205,319.512031,11.78880745
118314,Glaciated,47.20669802,-92.22059016,40102010805,2346.869147,121.5113564
1544,Glaciated,46.96584297,-92.17190141,40102020502,50.71750953,6.500170703
33247,Glaciated,47.66790199,-92.10965146,40102010301,287.1282551,58.17005666
119350,Glaciated,47.06093241,-92.03472839,40102020403,41595.42302,545.8154946
20698,Glaciated,47.06814298,-92.01871496,40102020403,105.3279897,2.796478886
100757,Glaciated,46.4683571,-92.00134354,40103010604,67.01952406,5.515791132
48989,Glaciated,47.34142436,-91.76983103,40102020103,5479.816581,116.8700695
11349,Glaciated,46.49678676,-91.75593899,40103010701,122.0273731,10.47890105
138177,Glaciated,46.45060373,-91.72410409,40103010701,95.17689536,77.81536905
71660,Glaciated,46.45554257,-91.68439882,40103010701,34.60656816,21.58278607
79101,Glaciated,46.49889576,-91.68436187,40103010701,11.52365268,7.310356454
34292,Glaciated,46.53341771,-91.6780974,40103010701,224.3333945,55.85159093
46897,Glaciated,46.50720367,-91.65257388,40103010701,61.46188409,9.11573199
39581,Glaciated,46.50961331,-91.63811009,40103010702,84.9801342,27.86356069
115165,Glaciated,47.33464394,-91.59629429,40102020102,654.6631322,119.0693198
84330,Glaciated,46.518863,-91.51142341,40103010803,25.4630243,12.41561263
60353,Glaciated,46.53888828,-91.49248745,40103010803,117.2573166,65.045562
114101,Glaciated,46.51889014,-91.47745932,40103010803,137.9433957,16.36578236
74828,Glaciated,47.44177314,-91.47146775,40102020101,117.4385116,4.300403954
5526,Glaciated,46.55532056,-91.45980446,40103010803,82.99637733,2.0400442
135093,Glaciated,46.56962916,-91.45668998,40103010803,95.24813622,11.91813673
94680,Glaciated,46.50087811,-91.41028996,40103010703,161.0259915,16.9966186
23952,Glaciated,46.45793933,-91.36263567,40103020602,17.15566161,15.39536839
12400,Glaciated,46.44768246,-91.35417089,40103020602,318.8232245,304.5764035
5483,Glaciated,46.49174707,-91.34983598,40103020602,54.48460498,4.547868273
237,Glaciated,47.28521333,-91.34437282,40101020104,84.70701971,4.857222229
116238,Glaciated,46.57540043,-91.33367746,40103010801,26.10224894,4.509913609
36382,Glaciated,46.49309738,-91.32310305,40103020602,502.8942184,49.05993862
52147,Glaciated,46.52755362,-91.32254199,40103010801,16.33905325,9.49420812
40646,Glaciated,46.36576057,-91.29960187,40103020601,40.99507361,16.30071484
110006,Glaciated,46.42603414,-91.28586193,40103020603,109.5737724,48.35052542
28016,Glaciated,46.58493153,-91.29357566,40103010801,3.006959185,2.362029077
5151,Glaciated,46.40336763,-91.26570159,40103020603,141.1325367,5.059376318
3796,Glaciated,46.47735658,-91.27781871,40103020602,10.4849052,4.910751399
106945,Glaciated,46.50321712,-91.27543546,40103011102,84.46388218,20.97900752
128831,Glaciated,46.24506372,-91.25536442,40103020605,281.009216,42.56661651
2771,Glaciated,46.32558816,-91.26197468,40103020605,1662.18949,77.37436163
40659,Glaciated,46.48790526,-91.26108569,40103011102,46.13740106,25.32441122
58323,Glaciated,47.46318472,-91.24178538,40101011103,226.1527983,16.1826405
114088,Glaciated,46.41016458,-91.23763742,40103020603,60.82651158,39.14886508
107938,Glaciated,46.5205795,-91.23879398,40103011102,265.8288254,172.4859941
63520,Glaciated,47.45823409,-91.21806392,40101011104,265.7453446,13.68759355
5562,Glaciated,46.84963005,-91.19719005,40103010904,1846.424195,72.93015298
62419,Glaciated,46.36962312,-91.17081722,40103020605,47.99640513,12.04852657
21780,Glaciated,46.64245632,-91.17907774,40103011008,51.36026537,11.3887627
50044,Glaciated,47.48624773,-91.14485203,40101011104,91.68383037,12.93747156
36370,Glaciated,47.56176961,-91.14275674,40101011003,1640.546883,22.92882444
46908,Glaciated,46.296373,-91.13110436,40103020604,21.19843521,6.268824684
66620,Glaciated,46.35906594,-91.11026652,40103020604,59.70874036,19.76286758
12393,Glaciated,46.30278212,-91.08874009,40103020604,38.80995074,8.921731536
73751,Glaciated,46.33944569,-91.06551411,40103020606,13.59678665,12.51899127
91550,Glaciated,46.33368007,-91.00838161,40103020402,55.48569896,12.54113729
98771,Glaciated,46.3662017,-90.96671252,40103020404,30.15787072,8.46623651
73756,Glaciated,46.35793284,-90.96241765,40103020402,271.6401452,16.88922986
17494,Glaciated,46.36166116,-90.91264512,40103020404,590.5245505,85.25118281
4723,Glaciated,46.30077187,-90.90145856,40103020401,58.95558324,4.298774349
120453,Glaciated,46.31393392,-90.87515792,40103020401,546.2422495,79.17234943
95669,Glaciated,46.31946641,-90.85105739,40103020401,251.2768617,10.1064041
117247,Glaciated,46.29760035,-90.80305579,40103020401,263.1911374,22.28656614
4726,Glaciated,46.3622209,-90.78658456,40103020403,224.660533,21.391402
84325,Glaciated,47.91310181,-90.79016005,40101010801,1421.617061,113.0538499
135077,Glaciated,47.9603725,-90.74821087,40101010404,300.1064115,13.39657005
10316,Glaciated,47.91056221,-90.68550315,40101010801,71.65581452,3.232419588
12391,Glaciated,48.02183021,-90.59563425,40101010401,259.662452,5.853559935
51078,Glaciated,46.22269866,-90.57458319,40103020301,318.3022824,57.96567666
4925,Glaciated,46.27360261,-90.55209874,40103020301,862.7640753,17.39937769
57284,Glaciated,48.08575166,-90.56938815,40101010101,58.18365131,3.04999346
59389,Glaciated,46.29293699,-90.54183965,40103020304,191.3524428,10.87340401
34301,Glaciated,48.03934386,-90.51793367,40101010402,68.04003465,17.36717632
28028,Glaciated,48.07526149,-90.51064762,40101010101,145.991805,7.433029887
10310,Glaciated,47.96753098,-90.48574638,40101010405,175.1749543,3.474196155
115171,Glaciated,48.02905083,-90.48214056,40101010402,117.7263072,1.626210431
3247,Glaciated,47.89874684,-90.45856973,40101010602,370.1421586,10.38803966
118320,Glaciated,47.90339074,-90.44292771,40101010501,177.9591686,14.74290472
4561,Glaciated,46.41167459,-90.40071675,40103020501,264.87609,10.10826238
122561,Glaciated,47.86101702,-90.39865572,40101010501,2621.230353,124.1860545
33249,Glaciated,48.00102063,-90.3820393,40101010403,32.36752033,4.525354944
122558,Glaciated,46.27421733,-90.32233363,40103020103,142.9375706,15.87512306
45881,Glaciated,47.90057594,-90.29517489,40101010407,257.9435679,6.05409672
9274,Glaciated,48.05195462,-90.26716148,40101010201,75.69538618,1.940647974
35324,Glaciated,47.94794443,-90.26357897,40101010403,51.77324992,8.657454943
113138,Glaciated,48.00934971,-90.25274073,40101010408,46.12485426,5.127746116
88494,Glaciated,48.05787019,-90.24573654,40101010201,36.98089239,5.381726865
120444,Glaciated,48.05224943,-90.22240813,40101010204,55.87530557,3.228305362
111066,Glaciated,47.90017097,-90.09105129,40101010409,55.40482808,1.825359029
96671,Glaciated,47.91866051,-90.0826829,40101010409,15.65309938,4.954905431
35328,Glaciated,47.92190934,-90.08312265,40101010206,286.2583707,31.75305799
1923,Glaciated,48.06749717,-90.05500754,40101010202,761.4483944,10.3458087
1671,Glaciated,46.86646723,-92.29992018,40102011502,1132.69309,5.809132544
1515,Glaciated,46.94441896,-92.26543956,40102020502,9848.619538,7.68265906
127784,Glaciated,47.01275947,-92.19850076,40102020404,2643.396611,1.093020172
5111,Glaciated,46.46761093,-91.74487767,40103010701,3142.32311,17.23986452
3229,Glaciated,47.17728325,-91.88851168,40102020402,2097.778156,11.99482364
127786,Glaciated,47.74738012,-91.01803693,40101010901,1006.533932,7.786205113
4922,Glaciated,46.29357377,-90.82876961,40103020401,3228.892335,35.11537049
3600,Glaciated,47.94833733,-90.77542364,40101010801,458.0521094,6.112283961
21768,Glaciated,47.93366586,-90.78362275,40101010801,332.6272871,3.835050617
1340,Glaciated,47.98644172,-90.69922512,40101010404,394.7752191,3.055715375
1494,Glaciated,47.92127182,-90.71547584,40101010801,422.143862,4.826939466
525,Glaciated,47.85294405,-90.65881916,40101010602,305.3817123,2.905101589
79097,Glaciated,48.02951791,-90.55044254,40101010401,624.7874791,4.441572099
104870,Glaciated,48.00851398,-90.49656072,40101010401,509.919723,6.724897315
2561,Glaciated,48.04901862,-90.23663801,40101010201,232.0153495,2.800112362
71662,Glaciated,48.0846701,-90.20525593,40101010202,1345.754566,4.220154663
2060,Glaciated,48.00020854,-90.19161621,40101010408,1434.03065,1.74964118
1452,Glaciated,47.92583953,-90.06650198,40101010206,1457.666421,8.800016694
120456,Glaciated,47.26359679,-93.07640508,40102010606,394.9712977,9.325232534
131954,Glaciated,47.27273049,-93.07060635,40102010606,169.7132303,8.644442376
805,Glaciated,47.44925214,-92.80999908,40102010601,2031.809337,52.95619021
1682,Glaciated,47.42061873,-92.7694282,40102010504,3388.285903,48.62916935
775,Glaciated,47.4955512,-92.59566151,40102010704,1591.373603,32.31713009
408,Glaciated,46.53632127,-92.52426838,40103010204,63.80139949,4.44565879
56235,Glaciated,46.58280858,-92.49651115,40103010204,88.93674369,5.128028311
114079,Glaciated,47.46795443,-92.46401902,40102010701,371.5248432,15.25409622
111071,Glaciated,46.40343668,-92.43734429,40103010102,123.899329,5.626405147
81130,Glaciated,47.14229152,-92.37462978,40102010806,8890.526725,922.7106298
3328,Glaciated,47.14776814,-92.3565483,40102010806,272.7453338,8.512508442
73766,Glaciated,47.25720726,-92.36022795,40102010901,2703.682125,34.08864133
16458,Glaciated,46.99365612,-92.31977933,40102020601,1760.27833,60.17454855
83298,Glaciated,47.22266676,-92.3094614,40102010901,42.89475713,3.543485114
73818,Glaciated,47.36609643,-92.3075051,40102010404,968.8376709,15.0179643
15598,Glaciated,47.02914681,-92.26454432,40102020404,151.2055681,3.823237495
93660,Glaciated,47.31256671,-92.24892008,40102010402,105.5079748,5.836240694
9258,Glaciated,47.32481886,-92.21740915,40102010402,4902.065604,54.84139091
43842,Glaciated,46.45779925,-92.21368583,40103010402,75.456153,13.5375186
1075,Glaciated,46.98882594,-92.11105442,40102020404,153.0257425,4.134947195
86374,Glaciated,46.39524588,-92.09594504,40103010604,1547.467999,78.59499213
114093,Glaciated,46.49055226,-92.09765767,40103010303,364.7720464,66.46784021
110013,Glaciated,47.74682326,-92.10718503,40102010302,64.73321386,13.78244308
114097,Glaciated,47.76771714,-92.08422449,40102010302,103.7948685,12.93477034
4375,Glaciated,46.47405432,-92.0448726,40103010604,415.51666,7.259579236
120445,Glaciated,47.50951287,-92.01516122,40102010102,474.0598472,15.51322538
54249,Glaciated,46.49225257,-92.00041969,40103010605,26.40037002,9.926321806
114105,Glaciated,47.07264347,-91.87551093,40101020406,131.3888494,34.02835498
1663,Glaciated,47.21984555,-91.8452303,40102020104,199.3592782,2.583389486
116234,Glaciated,47.13700292,-91.82918202,40102020402,226.7240166,13.52704623
32278,Glaciated,47.28703679,-91.82712317,40102020105,112.6656382,7.488898307
104880,Glaciated,47.19295548,-91.8213104,40102020402,428.1131702,86.78363209
13380,Glaciated,46.55963198,-91.80086072,40103010602,56.39029811,15.59343901
19612,Glaciated,46.57839988,-91.79228421,40103010602,4822.736423,1298.609609
84324,Glaciated,47.45972839,-91.79398139,40102010202,1246.442247,6.880978679
63526,Glaciated,46.51043876,-91.66566083,40103010701,21.48370975,7.851411162
27049,Glaciated,46.5166538,-91.6527263,40103010701,22.46914916,14.37903976
48986,Glaciated,46.47982076,-91.59934336,40103010702,10095.4842,641.8979534
73768,Glaciated,46.5093513,-91.50047092,40103010703,111.1388607,71.19025268
74815,Glaciated,46.54553083,-91.50165416,40103010803,52.09059342,13.67417247
15410,Glaciated,46.51031154,-91.48686442,40103010703,883.5434955,770.6413606
138165,Glaciated,46.53881414,-91.48106502,40103010803,9.957064573,2.112708704
15412,Glaciated,46.46283114,-91.42371285,40103020602,1838.258151,962.2844461
5271,Glaciated,46.50359468,-91.42407356,40103010703,435.637757,16.41299979
19615,Glaciated,46.55463318,-91.40901746,40103010804,42.5299505,2.588546481
18660,Glaciated,46.55169468,-91.40236392,40103010804,129.9632938,36.54030794
65593,Glaciated,46.48339694,-91.37509299,40103020602,76.45506698,7.271094778
4753,Glaciated,46.49791242,-91.37486125,40103020602,85.07627347,4.84534875
81124,Glaciated,46.51312192,-91.3853135,40103020602,48.42405474,16.85167271
91549,Glaciated,46.52038972,-91.37807843,40103020602,18.02084333,8.751585847
5476,Glaciated,46.49877663,-91.35720176,40103020602,152.7622568,2.308620756
4551,Glaciated,46.51852965,-91.36188996,40103020602,194.871577,1.87360937
5493,Glaciated,46.52880329,-91.36774987,40103020602,385.4999106,5.211354581
119362,Glaciated,46.58153943,-91.3594715,40103010801,113.1868646,22.05019659
63509,Glaciated,46.47088566,-91.35599542,40103020602,275.7991583,16.9439657
45888,Glaciated,46.50527701,-91.3341986,40103020602,26.38437582,11.2964957
79091,Glaciated,46.60129768,-91.32967456,40103010801,28.70069762,23.93108592
91558,Glaciated,46.6065852,-91.3282695,40103010801,159.8821202,65.31448921
84323,Glaciated,46.57482006,-91.31159834,40103010801,99.48894616,76.46743203
117254,Glaciated,46.40540883,-91.30046152,40103020601,348.5326406,42.13365958
44876,Glaciated,46.4531788,-91.30623311,40103020602,565.6050331,498.3418305
59396,Glaciated,46.37997719,-91.28394895,40103020601,105.1852986,13.14226703
43852,Glaciated,46.38686214,-91.28983217,40103020601,45.97177706,22.79478949
87444,Glaciated,46.23563501,-91.26970004,40103020605,61.3930431,25.3731526
51077,Glaciated,46.37114354,-91.2634334,40103020605,137.2797559,56.25667459
13392,Glaciated,46.39859941,-91.27509906,40103020603,68.93658398,6.061209401
48992,Glaciated,46.41811667,-91.27100597,40103020603,74.27213577,12.32149309
4410,Glaciated,46.44146764,-91.26340416,40103020603,143.0810662,4.389134109
85327,Glaciated,46.51140081,-91.26886872,40103011102,633.0491824,33.88388609
28019,Glaciated,46.54434513,-91.2727383,40103011102,204.8365887,108.7579683
4199,Glaciated,47.36116059,-91.26926399,40101020103,42.69095658,9.081942152
5563,Glaciated,46.36961046,-91.25361649,40103020605,56.47784311,3.152320994
5133,Glaciated,46.3751323,-91.24139323,40103020605,329.4259465,18.80923507
40664,Glaciated,46.41564393,-91.25320378,40103020603,45.37156787,36.05405651
70677,Glaciated,46.42726692,-91.25518681,40103020603,160.0801601,80.85474402
46901,Glaciated,46.48029933,-91.24653984,40103020603,16.72288182,4.194229892
59399,Glaciated,46.50072821,-91.26146991,40103011102,153.7767276,11.64685975
129875,Glaciated,46.29151521,-91.23933711,40103020605,80.5100458,9.561820458
58309,Glaciated,46.49329483,-91.24112518,40103011102,77.06126621,18.48557648
65582,Glaciated,46.71261454,-91.24484576,40103010905,336.4803232,60.52161981
76926,Glaciated,46.51187502,-91.21951637,40103011102,38.9450214,37.26862216
74818,Glaciated,46.66855693,-91.21963579,40103010805,11.69104969,7.4993028
31201,Glaciated,47.41018234,-91.21789835,40101011105,438.1187078,33.17443798
137053,Glaciated,46.25552746,-91.20649589,40103020604,569.7385126,7.610234192
68647,Glaciated,47.5984464,-91.20393,40101011003,300.0842349,17.85578205
108995,Glaciated,46.3684626,-91.165277,40103020605,10.1214117,7.084888376
110007,Glaciated,46.35294592,-91.15726232,40103020605,98.12120569,85.36242468
18573,Glaciated,47.64047875,-91.11258581,40101010903,11.877112,6.714313134
75878,Glaciated,46.67987379,-91.05369298,40103011006,47.11873576,13.81271186
52142,Glaciated,46.83179203,-91.04633058,40103010903,96.91623218,67.59530868
59402,Glaciated,46.32733965,-91.02375194,40103020402,135.8089808,92.32276308
5061,Glaciated,46.28280587,-90.93773784,40103020402,1541.408705,78.47816168
70679,Glaciated,47.84181025,-90.91775529,40101010803,369.9805285,11.61104608
24981,Glaciated,47.91185285,-90.90660345,40101010802,1183.868936,21.03424889
86380,Glaciated,46.23219304,-90.86972835,40103020401,194.4468286,46.85719935
117259,Glaciated,47.85626917,-90.77831762,40101010801,10.71385793,2.342495792
3107,Glaciated,47.69851013,-90.746446,40101010705,2162.679955,36.29594724
111076,Glaciated,47.79062837,-90.7628698,40101010701,195.5251705,45.09664115
578,Glaciated,47.84042774,-90.75205661,40101010701,312.8867333,6.176050697
31219,Glaciated,47.90047468,-90.71912752,40101010801,145.7189045,12.05732459
24987,Glaciated,46.55499666,-90.692742,40103020705,27.18016433,9.405429744
534,Glaciated,47.9743763,-90.68696367,40101010404,351.7122932,11.00093582
127783,Glaciated,46.25951943,-90.64586083,40103020303,285.5681417,6.34613677
5423,Glaciated,46.28428564,-90.593182,40103020303,250.5338421,2.924224546
107942,Glaciated,48.04144891,-90.58278087,40101010402,57.28319251,4.86814686
63515,Glaciated,48.08415709,-90.54398553,40101010101,43.35195471,5.246974096
54243,Glaciated,48.08242786,-90.51174638,40101010101,249.2522523,6.091696244
1468,Glaciated,47.88956529,-90.49002943,40101010602,175.4883403,15.76928871
81127,Glaciated,47.92182129,-90.45233323,40101010405,165.1069081,4.315032626
4783,Glaciated,46.38965091,-90.43952016,40103020504,151.5471046,7.602863582
92607,Glaciated,47.90080849,-90.43144533,40101010501,248.8687679,3.207694949
118312,Glaciated,48.02523489,-90.41749269,40101010402,229.0236394,13.06748001
114077,Glaciated,48.01915192,-90.40957352,40101010402,119.4982339,12.32329302
47933,Glaciated,48.02897416,-90.39368684,40101010402,85.53859218,7.145161425
434,Glaciated,47.88040114,-90.39450979,40101010501,165.1678179,37.95050659
111060,Glaciated,46.26004104,-90.37188724,40103020201,37.00275612,19.10069797
124663,Glaciated,47.80271184,-90.36971324,40101010503,460.5122779,13.05560383
64561,Glaciated,48.01164891,-90.37458725,40101010403,460.458433,23.28026814
69659,Glaciated,46.25866952,-90.35888518,40103020103,9.497938169,8.659945924
3317,Glaciated,47.84696696,-90.3581182,40101010502,114.5894754,2.487204859
119357,Glaciated,46.27462898,-90.31576804,40103020103,82.02368742,26.06973648
48985,Glaciated,48.00271113,-90.29079286,40101010403,91.23976229,3.815929767
16455,Glaciated,48.01070621,-90.28764761,40101010201,105.8896049,7.45213393
45864,Glaciated,48.00847979,-90.26680427,40101010201,24.44259343,4.142041214
37460,Glaciated,48.05579447,-90.2375195,40101010201,31.04651278,2.676946914
119359,Glaciated,47.86208868,-90.23045737,40101011201,102.0259935,3.175709353
112119,Glaciated,48.02272525,-90.20706536,40101010201,129.732293,12.94859376
63513,Glaciated,48.03751659,-90.12270767,40101010204,1187.18192,50.76256285
62429,Glaciated,48.11234164,-90.14100126,40101010203,343.8546974,164.7423975
71664,Glaciated,48.11136027,-90.13285362,40101010203,416.0118475,164.1377917
331,Glaciated,48.01128482,-90.07011119,40101010204,79.14950609,13.76885725
5509,Glaciated,46.25798364,-91.14184439,40103020604,486.1543722,3.724214218
1350,Glaciated,47.46794494,-92.35266944,40102010305,435.2685982,2.277683952
174,Glaciated,47.15766107,-91.90724813,40102020402,422.5549974,5.752925676
114080,Glaciated,47.46139282,-91.86837034,40102010202,1277.868575,7.197641353
1604,Glaciated,47.34468235,-91.29882709,40101020103,1430.654916,12.16387032
252,Glaciated,47.57902221,-91.08755759,40101011004,248.6468405,2.069857302
2767,Glaciated,47.72182257,-91.01348746,40101010901,528.1513798,2.499351423
4516,Glaciated,46.31849549,-90.81949206,40103020401,778.4514762,36.84877539
60351,Glaciated,47.90119579,-90.7278499,40101010801,487.1172376,9.53866499
1827,Glaciated,47.84086211,-90.73005592,40101010701,554.1826252,5.126976639
33244,Glaciated,47.8247278,-90.69380185,40101010702,1126.401335,7.858228285
1469,Glaciated,47.90373429,-90.6716428,40101010801,543.5451806,3.094871676
106943,Glaciated,47.95478279,-90.60575323,40101010404,566.1997434,11.84436804
3820,Glaciated,47.99208674,-90.59704967,40101010401,845.3960067,2.402126623
486,Glaciated,48.08195985,-90.49460603,40101010101,249.0884356,5.208112515
796,Glaciated,48.06783047,-90.30846929,40101010201,804.6774652,4.307186858
1607,Glaciated,47.9044189,-90.23834892,40101010407,17788.1391,118.3271417
21778,Glaciated,48.05090788,-90.15808534,40101010204,479.2557212,8.017125998
69662,Glaciated,47.20621408,-93.12160163,40102011001,105.8721207,7.031009149
22870,Glaciated,47.24942537,-93.07778484,40102010606,662.0017108,9.994950467
128832,Glaciated,47.274132,-93.04609223,40102010606,370.3643864,9.60492145
11360,Glaciated,47.2238955,-93.03097974,40102010707,271.2755217,3.013730255
18563,Glaciated,47.20188792,-93.00603299,40102010707,1339.153765,23.53411027
97768,Glaciated,46.81337748,-92.91135963,40102011303,148.3285647,10.92621018
88493,Glaciated,47.49044915,-92.78595129,40102010601,57.61658981,19.05687395
95673,Glaciated,47.51260308,-92.72269704,40102010503,1059.984391,61.27642542
37459,Glaciated,46.73640445,-92.69456373,40102011201,6.224576406,1.860623864
129883,Glaciated,47.46240441,-92.64394095,40102010704,47.91382802,2.267984549
64558,Glaciated,47.4302765,-92.62372566,40102010703,37.30315499,18.40455906
123608,Glaciated,47.28886792,-92.55398267,40102010904,626.3579143,11.12271659
104885,Glaciated,47.52385504,-92.54362087,40102010704,105.2811084,5.86059974
371,Glaciated,46.54248837,-92.5304459,40103010204,26.02644069,1.697351644
3327,Glaciated,47.40995713,-92.52998694,40102010702,623.4188992,16.93952638
101817,Glaciated,47.29726932,-92.49860237,40102010904,852.3574674,6.235395778
13389,Glaciated,46.42924167,-92.48937169,40103010201,129.5201025,10.25503735
71675,Glaciated,46.62015317,-92.44326187,40103010401,76.84868988,1.916491204
65590,Glaciated,47.47038747,-92.42990498,40102010304,86.96982124,4.209525899
64545,Glaciated,46.85164139,-92.40690368,40102020604,181.0313205,6.894035261
132979,Glaciated,47.44718355,-92.37411303,40102010305,126.8657943,10.14586077
105940,Glaciated,46.86571995,-92.34933746,40102011502,1100.933025,57.80534305
16450,Glaciated,47.27905267,-92.34522149,40102010902,242.9991817,14.98665885
66615,Glaciated,47.33093627,-92.32735097,40102010403,148.9160373,2.740249873
102769,Glaciated,47.39094556,-92.34490419,40102010206,103.326495,4.040374569
14447,Glaciated,47.49153958,-92.34100313,40102010305,271.5177527,4.493283826
3438,Glaciated,47.37558473,-92.32275836,40102010404,115.2806767,5.539143762
126761,Glaciated,47.44378843,-92.24923234,40102010204,1052.657727,23.19024226
43847,Glaciated,47.01284022,-92.22081748,40102020404,29.56956054,2.680724339
93661,Glaciated,46.97589141,-92.2015409,40102020404,166.4011366,38.26306536
1529,Glaciated,46.97315781,-92.19558523,40102020404,57.02035657,8.719182579
73758,Glaciated,46.53153318,-92.12013822,40103010303,13755.85933,1459.123891
54274,Glaciated,46.48995916,-92.07964184,40103010303,27.79243748,14.56959029
856,Glaciated,47.08564063,-92.07020401,40102020403,1058.057415,13.13815076
67650,Glaciated,47.05825031,-92.04742445,40102020403,73.24420845,18.31397894
83247,Glaciated,47.4840867,-92.06086534,40102010203,28.3511919,8.78069917
130926,Glaciated,47.48737248,-92.05692869,40102010203,39.57491674,6.246944915
14436,Glaciated,46.47899655,-92.02125603,40103010604,114.2839103,27.4319248
34295,Glaciated,47.09583659,-91.99106842,40102020402,633.7760097,4.290508671
20700,Glaciated,46.4626313,-91.94197297,40103010606,14.44987779,14.44810609
11353,Glaciated,47.19736616,-91.82704237,40102020402,622.0236761,52.81981857
141178,Glaciated,46.69290875,-91.79680742,40103010602,1.956372619,1.509174461
59388,Glaciated,46.49997238,-91.75933194,40103010701,177.3790993,24.0321659
132995,Glaciated,46.39504772,-91.68784742,40103010702,839.0695294,252.5446967
29069,Glaciated,46.46455399,-91.6951398,40103010701,79.50774856,41.14756153
84332,Glaciated,46.47130611,-91.67492679,40103010701,222.7479301,64.3395644
50047,Glaciated,47.37778659,-91.67359622,40102020101,1043.614666,50.47632083
98776,Glaciated,47.33064891,-91.61057689,40102020102,825.4911223,37.38008513
74808,Glaciated,46.48916521,-91.55495133,40103010703,1119.139218,178.4416498
26027,Glaciated,46.57006279,-91.52715349,40103010704,51.14041602,14.95513921
62422,Glaciated,47.32420458,-91.52357288,40101020104,109.155556,28.81138995
42817,Glaciated,46.4956241,-91.50469268,40103010703,650.9099568,109.5797725
9273,Glaciated,46.51600285,-91.51424227,40103010803,6.051600648,4.697000577
27061,Glaciated,46.54654785,-91.4555866,40103010803,65.15538563,6.686294738
4786,Glaciated,46.53368349,-91.44218745,40103010804,429.2522483,4.288878376
122559,Glaciated,46.56020282,-91.42835288,40103010804,871.6283757,27.08017477
88496,Glaciated,46.49740296,-91.42021455,40103010703,669.5465828,260.1880195
55218,Glaciated,46.51163056,-91.38941845,40103020602,257.1687856,49.730764
132984,Glaciated,46.78346085,-91.39941748,40103010908,2796.283813,168.0253917
136063,Glaciated,46.56326151,-91.38885203,40103010804,236.0013174,64.32855378
4354,Glaciated,46.51735566,-91.37186454,40103020602,35.57675331,2.778553953
3405,Glaciated,46.46554977,-91.35032101,40103020602,77.72392056,12.15181754
67646,Glaciated,46.54310439,-91.35034834,40103010801,226.6449245,40.50797642
141175,Glaciated,46.58682581,-91.35234825,40103010801,27.53495112,24.91741184
41774,Glaciated,47.53652862,-91.35413517,40101011103,103.8887552,14.94319365
